"id","comment","Character","Actor.Actress","Film","Year","score","detectedLanguages","keyPhrases.1","keyPhrases.2","keyPhrases.3","keyPhrases.4","keyPhrases.5","keyPhrases.6"
  1,"""Frankly, my dear, I don't give a damn.""","Rhett Butler","Clark Gable","Gone with the Wind",1939,0.171302124,"English",,,,,,
  2,"""I'm gonna make him an offer he can't refuse.""","Vito Corleone","Marlon Brando","The Godfather",1972,0.273934240,"English",gonna,ca,,,,
  3,"""You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.""","Terry Malloy","Marlon Brando","On the Waterfront",1954,0.182706629,"English",somebody,coulda,contender,class,bum,
  4,"""Toto, I've a feeling we're not in Kansas anymore.""","Dorothy Gale","Judy Garland","The Wizard of Oz",1939,0.039896108,"English",Toto,Kansas,feeling,,,
  5,"""Here's looking at you, kid.""","Rick Blaine","Humphrey Bogart","Casablanca",1942,0.500000000,"English",kid,,,,,
  6,"""Go ahead, make my day.""","Harry Callahan","Clint Eastwood","Sudden Impact",1983,0.500000000,"English",day,,,,,
  7,"""All right, Mr. DeMille, I'm ready for my close-up.""","Norma Desmond","Gloria Swanson","Sunset Boulevard",1950,0.908949648,"English",ready,DeMille,close,,,
  8,"""May the Force be with you.""","Han Solo","Harrison Ford","Star Wars",1977,0.500000000,"English",Force,,,,,
  9,"""Fasten your seatbelts. It's going to be a bumpy night.""","Margo Channing","Bette Davis","All About Eve",1950,0.226348976,"English",seatbelts,bumpy night,,,,
 10,"""You talkin' to me?""","Travis Bickle","Robert De Niro","Taxi Driver",1976,0.500000000,"English",talkin,,,,,
 11,"""What we've got here is failure to communicate.""","Captain","Strother Martin","Cool Hand Luke",1967,0.120896554,"English",failure,,,,,
 12,"""I love the smell of napalm in the morning.""","Lt. Col. Bill Kilgore","Robert Duvall","Apocalypse Now",1979,0.801284304,"English",smell of napalm,morning,,,,
 13,"""Love means never having to say you're sorry.""","Jennifer Cavilleri Barrett","Ali MacGraw","Love Story",1970,0.216075768,"English",Love means,,,,,
 14,"""The stuff that dreams are made of.""","Sam Spade","Humphrey Bogart","The Maltese Falcon",1941,0.896770591,"English",stuff,dreams,,,,
 15,"""E.T. phone home.""","E.T.","Pat Welsh","E.T. the Extra-Terrestrial",1982,0.500000000,"English",phone home,,,,,
 16,"""They call me Mister Tibbs!""","Virgil Tibbs","Sidney Poitier","In the Heat of the Night",1967,0.500000000,"English",Tibbs,,,,,
 17,"""Rosebud.""","Charles Foster Kane","Orson Welles","Citizen Kane",1941,0.500000000,"English",Rosebud,,,,,
 18,"""Made it, Ma! Top of the world!""","Arthur ""Cody"" Jarrett","James Cagney","White Heat",1949,0.901074950,"English",world,Ma,,,,
 19,"""I'm as mad as hell, and I'm not going to take this anymore!""","Howard Beale","Peter Finch","Network",1976,0.025069636,"English",hell,,,,,
 20,"""Louis, I think this is the beginning of a beautiful friendship.""","Rick Blaine","Humphrey Bogart","Casablanca",1942,0.953474228,"English",Louis,beginning,beautiful friendship,,,
 21,"""A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.""","Dr. Hannibal Lecter","Anthony Hopkins","The Silence of the Lambs",1991,0.886274692,"English",nice Chianti,liver,fava beans,census taker,,
 22,"""Bond. James Bond.""","James Bond","Sean Connery[9]","Dr. No",1962,0.500000000,"English",James Bond,,,,,
 23,"""There's no place like home.""","Dorothy Gale","Judy Garland","The Wizard of Oz",1939,0.500000000,"English",place,,,,,
 24,"""I am big! It's the pictures that got small.""","Norma Desmond","Gloria Swanson","Sunset Boulevard",1950,0.500000000,"English",pictures,,,,,
 25,"""Show me the money!""","Rod Tidwell","Cuba Gooding, Jr.","Jerry Maguire",1996,0.500000000,"English",money,,,,,
 26,"""Why don't you come up sometime and see me?""","Lady Lou","Mae West","She Done Him Wrong",1933,0.217758286,"English",,,,,,
 27,"""I'm walking here! I'm walking here!""","""Ratso"" Rizzo","Dustin Hoffman","Midnight Cowboy",1969,0.500000000,"English",,,,,,
 28,"""Play it, Sam. Play 'As Time Goes By.'""","Ilsa Lund","Ingrid Bergman","Casablanca",1942,0.962952391,"English",Time Goes,Play,,,,
 29,"""You can't handle the truth!""","Col. Nathan R. Jessup","Jack Nicholson","A Few Good Men",1992,0.500000000,"English",ca,,,,,
 30,"""I want to be alone.""","Grusinskaya","Greta Garbo","Grand Hotel",1932,0.059649814,"English",,,,,,
 31,"""After all, tomorrow is another day!""","Scarlett O'Hara","Vivien Leigh","Gone with the Wind",1939,0.500000000,"English",tomorrow,day,,,,
 32,"""Round up the usual suspects.""","Capt. Louis Renault","Claude Rains","Casablanca",1942,0.500000000,"English",usual suspects,,,,,
 33,"""I'll have what she's having.""","Customer","Estelle Reiner","When Harry Met Sally...",1989,0.678725231,"English",,,,,,
 34,"""You know how to whistle, don't you, Steve? You just put your lips together and blow.""","Marie ""Slim"" Browning","Lauren Bacall","To Have and Have Not",1944,0.280176165,"English",Steve,lips,,,,
 35,"""You're gonna need a bigger boat.""","Martin Brody","Roy Scheider","Jaws",1975,0.500000000,"English",gonna,bigger boat,,,,
 36,"""Badges? We ain't got no badges! We don't need no badges! I don't have to show you any stinking badges!""","""Gold Hat""","Alfonso Bedoya","The Treasure of the Sierra Madre",1948,0.051638168,"English",stinking badges,ai,,,,
 37,"""I'll be back.""","The Terminator","Arnold Schwarzenegger","The Terminator",1984,0.500000000,"English",,,,,,
 38,"""Today, I consider myself the luckiest man on the face of the Earth.""","Lou Gehrig","Gary Cooper","The Pride of the Yankees",1942,0.907590978,"English",luckiest man,face,Earth,,,
 39,"""If you build it, he will come.""","Shoeless Joe Jackson","Ray Liotta (voice)","Field of Dreams",1989,0.500000000,"English",,,,,,
 40,"""Mama always said life was like a box of chocolates. You never know what you're gonna get.""","Forrest Gump","Tom Hanks","Forrest Gump",1994,0.500000000,"English",Mama,life,gonna,box of chocolates,,
 41,"""We rob banks.""","Clyde Barrow","Warren Beatty","Bonnie and Clyde",1967,0.500000000,"English",banks,,,,,
 42,"""Plastics.""","Mr. Maguire","Walter Brooke","The Graduate",1967,0.500000000,"English",Plastics,,,,,
 43,"""We'll always have Paris.""","Rick Blaine","Humphrey Bogart","Casablanca",1942,0.500000000,"English",Paris,,,,,
 44,"""I see dead people.""","Cole Sear","Haley Joel Osment","The Sixth Sense",1999,0.219417608,"English",people,,,,,
 45,"""Stella! Hey, Stella!""","Stanley Kowalski","Marlon Brando","A Streetcar Named Desire",1951,0.500000000,"Danish",Stella,,,,,
 46,"""Oh, Jerry, don't let's ask for the moon. We have the stars.""","Charlotte Vale","Bette Davis","Now, Voyager",1942,0.737976522,"English",stars,moon,Jerry,,,
 47,"""Shane. Shane. Come back!""","Joey Starrett","Brandon De Wilde","Shane",1953,0.500000000,"English",Shane,,,,,
 48,"""Well, nobody's perfect.""","Osgood Fielding III","Joe E. Brown","Some Like It Hot",1959,0.500000000,"English",,,,,,
 49,"""It's alive! It's alive!""","Henry Frankenstein","Colin Clive","Frankenstein",1931,0.500000000,"English",,,,,,
 50,"""Houston, we have a problem.""","Jim Lovell","Tom Hanks","Apollo 13",1995,0.854566571,"English",Houston,,,,,
 51,"""You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?""","Harry Callahan","Clint Eastwood","Dirty Harry",1971,0.500000000,"English",ya,question,punk,,,
 52,"""You had me at 'hello.'""","Dorothy Boyd","Renée Zellweger","Jerry Maguire",1996,0.500000000,"English",hello,,,,,
 53,"""One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.""","Capt. Geoffrey T. Spaulding","Groucho Marx","Animal Crackers",1930,0.500000000,"English",pajamas,morning,elephant,,,
 54,"""There's no crying in baseball!""","Jimmy Dugan","Tom Hanks","A League of Their Own",1992,0.018185173,"English",baseball,,,,,
 55,"""La-dee-da, la-dee-da.""","Annie Hall","Diane Keaton","Annie Hall",1977,0.500000000,"Italian",dee-da,,,,,
 56,"""A boy's best friend is his mother.""","Norman Bates","Anthony Perkins","Psycho",1960,0.992672260,"English",mother,boy,,,,
 57,"""Greed, for lack of a better word, is good.""","Gordon Gekko","Michael Douglas","Wall Street",1987,0.810873999,"English",lack,better word,,,,
 58,"""Keep your friends close, but your enemies closer.""","Michael Corleone","Al Pacino","The Godfather Part II",1974,0.771262640,"English",friends,enemies,,,,
 59,"""As God is my witness, I'll never be hungry again.""","Scarlett O'Hara","Vivien Leigh","Gone with the Wind",1939,0.233466998,"English",witness,God,,,,
 60,"""Well, here's another nice mess you've gotten me into!""","Oliver","Oliver Hardy","Sons of the Desert",1933,0.876910808,"English",,,,,,
 61,"""Say 'hello' to my little friend!""","Tony Montana","Al Pacino","Scarface",1983,0.760207459,"English",little friend,,,,,
 62,"""What a dump.""","Rosa Moline","Bette Davis","Beyond the Forest",1949,0.500000000,"English",dump,,,,,
 63,"""Mrs. Robinson, you're trying to seduce me. Aren't you?""","Benjamin Braddock","Dustin Hoffman","The Graduate",1967,0.500000000,"English",Robinson,,,,,
 64,"""Gentlemen, you can't fight in here! This is the War Room!""","President Merkin Muffley","Peter Sellers","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,0.035210323,"English",War Room,Gentlemen,ca,,,
 65,"""Elementary, my dear Watson.""","Sherlock Holmes","Basil Rathbone","The Adventures of Sherlock Holmes",1939,0.912587064,"English",Watson,,,,,
 66,"""Get your stinking paws off me, you damned dirty ape.""","George Taylor","Charlton Heston","Planet of the Apes",1968,0.015583524,"English",stinking paws,ape,,,,
 67,"""Of all the gin joints in all the towns in all the world, she walks into mine.""","Rick Blaine","Humphrey Bogart","Casablanca",1942,0.500000000,"English",world,towns,gin joints,,,
 68,"""Here's Johnny!""","Jack Torrance","Jack Nicholson","The Shining",1980,0.500000000,"English",Johnny,,,,,
 69,"""They're here!""","Carol Anne Freeling","Heather O'Rourke","Poltergeist",1982,0.500000000,"English",,,,,,
 70,"""Is it safe?""","Dr. Christian Szell","Laurence Olivier","Marathon Man",1976,0.500000000,"English",,,,,,
 71,"""Wait a minute, wait a minute. You ain't heard nothin' yet!""","Jakie Rabinowitz/Jack Robin","Al Jolson","The Jazz Singer",1927,0.500000000,"English",nothin,minute,ai,,,
 72,"""No wire hangers, ever!""","Joan Crawford","Faye Dunaway","Mommie Dearest",1981,0.500000000,"English",wire hangers,,,,,
 73,"""Mother of mercy, is this the end of Rico?""","Cesare Enrico ""Rico"" Bandello","Edward G. Robinson","Little Caesar",1931,0.500000000,"English",Mother of mercy,end of Rico,,,,
 74,"""Forget it, Jake, it's Chinatown.""","Lawrence Walsh","Joe Mantell","Chinatown",1974,0.500000000,"English",Jake,Chinatown,,,,
 75,"""I have always depended on the kindness of strangers.""","Blanche DuBois","Vivien Leigh","A Streetcar Named Desire",1951,0.930819575,"English",kindness of strangers,,,,,
 76,"""Hasta la vista, baby.""","The Terminator","Arnold Schwarzenegger","Terminator 2: Judgment Day",1991,0.500000000,"Spanish",vista,,,,,
 77,"""Soylent Green is people!""","Det. Robert Thorn","Charlton Heston","Soylent Green",1973,0.500000000,"English",people,,,,,
 78,"""Open the pod bay doors, HAL.""","Dave Bowman","Keir Dullea","2001: A Space Odyssey",1968,0.500000000,"English",pod bay doors,HAL,,,,
 79,"Striker: ""Surely you can't be serious."" Rumack: ""I am serious ... and don't call me Shirley.""","Ted Striker and Dr. Rumack","Robert Hays and Leslie Nielsen","Airplane!",1980,0.080695031,"English",Striker,Shirley,Rumack,ca,,
 80,"""Yo, Adrian!""","Rocky Balboa","Sylvester Stallone","Rocky",1976,0.500000000,"English",Yo,,,,,
 81,"""Hello, gorgeous.""","Fanny Brice","Barbra Streisand","Funny Girl",1968,0.756527849,"English",,,,,,
 82,"""Toga! Toga!""","John ""Bluto"" Blutarsky","John Belushi","National Lampoon's Animal House",1978,0.500000000,"Croatian",Toga,,,,,
 83,"""Listen to them. Children of the night. What music they make.""","Count Dracula","Bela Lugosi","Dracula",1931,0.500000000,"English",night,Listen,Children,,,
 84,"""Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.""","Carl Denham","Robert Armstrong","King Kong",1933,0.077103580,"English",Beauty,Beast,airplanes,,,
 85,"""My precious.""","Gollum","Andy Serkis","The Lord of the Rings: The Two Towers",2002,0.500000000,"English",,,,,,
 86,"""Attica! Attica!""","Sonny Wortzik","Al Pacino","Dog Day Afternoon",1975,0.500000000,"English",Attica,,,,,
 87,"""Sawyer, you're going out a youngster, but you've got to come back a star!""","Julian Marsh","Warner Baxter","42nd Street",1933,0.500000000,"English",youngster,star,Sawyer,,,
